Aldur,Kyn,Atvinnutekjur,Aðrar_tekjur,Fjármagnstekjur,Heildartekjur,Ráðstöfunartekjur,Skattar
60,Konur,6380000.0,1925000.0,1568000.0,9875000.0,7293000.0,2331000.0
61,Konur,5784800.0,2401200.0,1567600.0,9755400.0,7227200.0,2301000.0
62,Konur,5189600.0,2877400.0,1567200.0,9635800.0,7161400.0,2271000.0
63,Konur,4594400.0,3353600.0,1566800.0,9516200.0,7095600.0,2241000.0
64,Konur,3999200.0,3829800.0,1566400.0,9396600.0,7029800.0,2211000.0
65,Konur,3404000.0,4306000.0,1566000.0,9277000.0,6964000.0,2181000.0
66,Konur,2814600.0,4638400.0,1596000.0,9049800.0,6855200.0,2087800.0
67,Konur,2225200.0,4970800.0,1626000.0,8822600.0,6746400.0,1994600.0
68,Konur,1635800.0,5303200.0,1656000.0,8595400.0,6637600.0,1901400.0
69,Konur,1046400.0,5635600.0,1686000.0,8368200.0,6528800.0,1808200.0
70,Konur,457000.0,5968000.0,1716000.0,8141000.0,6420000.0,1715000.0
71,Konur,389200.0,5918200.0,1704600.0,8012200.0,6353400.0,1653800.0
72,Konur,321400.0,5868400.0,1693200.0,7883400.0,6286800.0,1592600.0
73,Konur,253600.0,5818600.0,1681800.0,7754600.0,6220200.0,1531400.0
74,Konur,185800.0,5768800.0,1670400.0,7625800.0,6153600.0,1470200.0
75,Konur,118000.0,5719000.0,1659000.0,7497000.0,6087000.0,1409000.0
76,Konur,102400.0,5709400.0,1562200.0,7375000.0,5972400.0,1401800.0
77,Konur,86800.0,5699800.0,1465400.0,7253000.0,5857800.0,1394600.0
78,Konur,71200.0,5690200.0,1368600.0,7131000.0,5743200.0,1387400.0
79,Konur,55600.0,5680600.0,1271800.0,7009000.0,5628600.0,1380200.0
80,Konur,40000.0,5671000.0,1175000.0,6887000.0,5514000.0,1373000.0
81,Konur,36800.0,5581200.0,1127000.0,6746000.0,5409200.0,1336600.0
82,Konur,33600.0,5491400.0,1079000.0,6605000.0,5304400.0,1300200.0
83,Konur,30400.0,5401600.0,1031000.0,6464000.0,5199600.0,1263800.0
84,Konur,27200.0,5311800.0,983000.0,6323000.0,5094800.0,1227400.0
85,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
86,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
87,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
88,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
89,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
90,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
91,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
92,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
93,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
94,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
95,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
96,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
97,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
98,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
99,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
100,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
101,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
102,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
103,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
104,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
105,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
106,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
107,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
108,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
109,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
