"Tekjur og skattar";"Eining";"Kyn";"Aldur";"2022"
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"80 - 84 ára";5750
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"85 ára og eldri";5207
"Aðrar tekjur";"Meðaltal - allir";"Konur";"16 - 19 ára";125
"Aðrar tekjur";"Meðaltal - allir";"Konur";"20 - 24 ára";468
"Aðrar tekjur";"Meðaltal - allir";"Konur";"25 - 29 ára";829
"Aðrar tekjur";"Meðaltal - allir";"Konur";"30 - 34 ára";1063
"Aðrar tekjur";"Meðaltal - allir";"Konur";"35 - 39 ára";1328
"Aðrar tekjur";"Meðaltal - allir";"Konur";"40 - 44 ára";1362
"Aðrar tekjur";"Meðaltal - allir";"Konur";"45 - 49 ára";1278
"Aðrar tekjur";"Meðaltal - allir";"Konur";"50 - 54 ára";1124
"Aðrar tekjur";"Meðaltal - allir";"Konur";"55 - 59 ára";1112
"Aðrar tekjur";"Meðaltal - allir";"Konur";"60 - 64 ára";1634
"Aðrar tekjur";"Meðaltal - allir";"Konur";"65 - 69 ára";3853
"Aðrar tekjur";"Meðaltal - allir";"Konur";"70 - 74 ára";5409
"Aðrar tekjur";"Meðaltal - allir";"Konur";"75 - 79 ára";5237
"Aðrar tekjur";"Meðaltal - allir";"Konur";"80 - 84 ára";5187
"Aðrar tekjur";"Meðaltal - allir";"Konur";"85 ára og eldri";4817
