gender,age,ref_total,ref_wages,ref_cg,ref_other,total_income,wages,capital_gains,other_income,err_total,err_wages,err_cg,err_other,age_bin
Female,81,6746000.0,36800.0,1127000.0,5581200.0,6150468.36649874,7878.162468513854,1134870.6549118387,5007719.5491183875,-595531.6335012596,-28921.837531486148,7870.654911838705,-573480.4508816125,"[80, 90)"
Female,82,6605000.0,33600.0,1079000.0,5491400.0,6042335.638205499,6706.318379160637,1081485.6193921852,4954143.700434153,-562664.3617945006,-26893.681620839365,2485.619392185239,-537256.299565847,"[80, 90)"
Female,83,6464000.0,30400.0,1031000.0,5401600.0,5908768.090189873,6059.287974683544,1034123.9905063291,4868584.811708861,-555231.9098101268,-24340.712025316454,3123.990506329108,-533015.188291139,"[80, 90)"
Female,84,6323000.0,27200.0,983000.0,5311800.0,5793876.1875,5533.678571428572,992439.0428571429,4795903.466071429,-529123.8125,-21666.321428571428,9439.042857142864,-515896.53392857127,"[80, 90)"
Female,85,6182000.0,24000.0,935000.0,5222000.0,5698213.637744035,5173.1626898047725,960344.1865509761,4732696.288503254,-483786.36225596536,-18826.837310195227,25344.186550976126,-489303.71149674617,"[80, 90)"
Female,86,6182000.0,24000.0,935000.0,5222000.0,5624889.326881721,4879.9075268817205,939242.4580645161,4680766.961290322,-557110.6731182793,-19120.09247311828,4242.458064516075,-541233.0387096778,"[80, 90)"
Female,87,6182000.0,24000.0,935000.0,5222000.0,5554249.062801932,4747.37922705314,927328.3550724637,4622173.328502416,-627750.937198068,-19252.62077294686,-7671.644927536254,-599826.6714975843,"[80, 90)"
Female,88,6182000.0,24000.0,935000.0,5222000.0,5517324.365384615,4693.398351648351,915635.521978022,4596995.445054945,-664675.634615385,-19306.60164835165,-19364.47802197805,-625004.5549450554,"[80, 90)"
Female,89,6182000.0,24000.0,935000.0,5222000.0,5465420.567398119,4654.780564263323,910942.4639498433,4549823.322884013,-716579.4326018812,-19345.219435736675,-24057.53605015669,-672176.677115987,"[80, 90)"
Female,90,6182000.0,24000.0,935000.0,5222000.0,5409075.887719298,4617.761403508772,894254.8526315789,4510203.27368421,-772924.1122807022,-19382.23859649123,-40745.14736842108,-711796.7263157899,"[90, 120)"
Female,91,6182000.0,24000.0,935000.0,5222000.0,5427604.495867768,4638.636363636364,895889.7727272727,4527076.086776859,-754395.5041322317,-19361.363636363636,-39110.227272727294,-694923.9132231409,"[90, 120)"
